tool,scenario,ctx,migrationTimeNs,rollbackTimeNs,exitCode,scriptLines,cpuUsage,memoryUsage,successRate
Flyway-R,Scen2,18,0,23064164456,0,54,0,0,100.0
Flyway-R,Scen2,17,0,103328839,0,1,0,0,100.0
Flyway-R,Scen2,16,0,110138229,0,1,0,0,100.0
Flyway-R,Scen2,15,0,1304026374,0,1,0,0,100.0
Flyway,Scen2,15,1914046634,0,0,13,0,0,100.0
Flyway,Scen2,16,2106842025,0,0,3,0,0,100.0
Flyway,Scen2,17,2051436359,0,0,3,0,0,100.0
Flyway,Scen2,18,41036490237,0,0,10,0,0,100.0
Flyway,Scen2,19,2303656312,0,0,6,0,0,100.0
Flyway,Scen2,20,3314193008,0,0,2,0,0,100.0
Flyway,Scen2,21,2124461023,0,0,3,0,0,100.0
Flyway,Scen2,22,2266771862,0,0,2,0,0,100.0
Flyway,Scen2,23,3116505645,0,0,3,0,0,100.0
Flyway,Scen2,24,3763943282,0,0,1,0,0,100.0
Flyway-R,Scen2,24,0,80416662,0,2,0,0,100.0
Flyway-R,Scen2,23,0,110767618,0,2,0,0,100.0
Flyway-R,Scen2,22,0,82389294,0,2,0,0,100.0
Flyway-R,Scen2,21,0,92817804,0,2,0,0,100.0
Flyway-R,Scen2,20,0,81868235,0,2,0,0,100.0
Flyway-R,Scen2,19,0,104391093,0,1,0,0,100.0
Flyway-R,Scen2,18,0,22873219394,0,54,0,0,100.0
Flyway-R,Scen2,17,0,689486385,0,1,0,0,100.0
Flyway-R,Scen2,16,0,160428598,0,1,0,0,100.0
Flyway-R,Scen2,15,0,253346405,0,1,0,0,100.0
Flyway,Scen2,15,2176826546,0,0,13,0,0,100.0
Flyway,Scen2,16,2183616778,0,0,3,0,0,100.0
Flyway,Scen2,17,1987671758,0,0,3,0,0,100.0
Flyway,Scen2,18,43089409776,0,0,10,0,0,100.0
Flyway,Scen2,19,2386759495,0,0,6,0,0,100.0
Flyway,Scen2,20,3359870227,0,0,2,0,0,100.0
Flyway,Scen2,21,2139949584,0,0,3,0,0,100.0
Flyway,Scen2,22,2370524730,0,0,2,0,0,100.0
Flyway,Scen2,23,2188025754,0,0,3,0,0,100.0
Flyway,Scen2,24,3591988254,0,0,1,0,0,100.0
Flyway-R,Scen2,24,0,81731675,0,2,0,0,100.0
Flyway-R,Scen2,23,0,92449453,0,2,0,0,100.0
Flyway-R,Scen2,22,0,80553751,0,2,0,0,100.0
Flyway-R,Scen2,21,0,90346257,0,2,0,0,100.0
Flyway-R,Scen2,20,0,80745481,0,2,0,0,100.0
Flyway-R,Scen2,19,0,93708796,0,1,0,0,100.0
Flyway-R,Scen2,18,0,23290511891,0,54,0,0,100.0
Flyway-R,Scen2,17,0,110741557,0,1,0,0,100.0
Flyway-R,Scen2,16,0,124529136,0,1,0,0,100.0
Flyway-R,Scen2,15,0,1320673759,0,1,0,0,100.0
Flyway,Scen2,15,2148477940,0,0,13,0,0,100.0
Flyway,Scen2,16,2098988117,0,0,3,0,0,100.0
Flyway,Scen2,17,2204448488,0,0,3,0,0,100.0
Flyway,Scen2,18,40620593548,0,0,10,0,0,100.0
Flyway,Scen2,19,2366678638,0,0,6,0,0,100.0
Flyway,Scen2,20,4015060396,0,0,2,0,0,100.0
Flyway,Scen2,21,2383610711,0,0,3,0,0,100.0
Flyway,Scen2,22,2359927590,0,0,2,0,0,100.0
Flyway,Scen2,23,3609663863,0,0,3,0,0,100.0
Flyway,Scen2,24,3382443434,0,0,1,0,0,100.0
Flyway-R,Scen2,24,0,85625095,0,2,0,0,100.0
Flyway-R,Scen2,23,0,110695162,0,2,0,0,100.0
Flyway-R,Scen2,22,0,99139873,0,2,0,0,100.0
Flyway-R,Scen2,21,0,110836976,0,2,0,0,100.0
Flyway-R,Scen2,20,0,88846677,0,2,0,0,100.0
Flyway-R,Scen2,19,0,106168216,0,1,0,0,100.0
Flyway-R,Scen2,18,0,23385389067,0,54,0,0,100.0
Flyway-R,Scen2,17,0,123969324,0,1,0,0,100.0
Flyway-R,Scen2,16,0,167615252,0,1,0,0,100.0
Flyway-R,Scen2,15,0,255933037,0,1,0,0,100.0
Flyway,Scen2,15,2043416465,0,0,13,0,0,100.0
Flyway,Scen2,16,2223163175,0,0,3,0,0,100.0
Flyway,Scen2,17,2216448909,0,0,3,0,0,100.0
Flyway,Scen2,18,41248001437,0,0,10,0,0,100.0
Flyway,Scen2,19,2187538449,0,0,6,0,0,100.0
Flyway,Scen2,20,3797349728,0,0,2,0,0,100.0
Flyway,Scen2,21,2085006681,0,0,3,0,0,100.0
Flyway,Scen2,22,2146446721,0,0,2,0,0,100.0
Flyway,Scen2,23,2067237490,0,0,3,0,0,100.0
Flyway,Scen2,24,3341253536,0,0,1,0,0,100.0
Flyway-R,Scen2,24,0,78871007,0,2,0,0,100.0
Flyway-R,Scen2,23,0,90078924,0,2,0,0,100.0
Flyway-R,Scen2,22,0,79832862,0,2,0,0,100.0
