tool,scenario,ctx,migrationTimeNs,rollbackTimeNs,exitCode,scriptLines,cpuUsage,memoryUsage,successRate
Flyway,Scen1,10,1961413066,0,0,4,0,0,100.0
Flyway,Scen1,11,2102714772,0,0,1,0,0,100.0
Flyway,Scen1,12,1860356277,0,0,8,0,0,100.0
Flyway,Scen1,13,1932293895,0,0,22,0,0,100.0
Flyway,Scen1,14,2426122333,0,0,2,0,0,100.0
Flyway-R,Scen1,14,0,99680411,0,1,0,0,100.0
Flyway-R,Scen1,13,0,90626324,0,2,0,0,100.0
Flyway-R,Scen1,12,0,75314296,0,1,0,0,100.0
Flyway-R,Scen1,11,0,74182552,0,1,0,0,100.0
Flyway-R,Scen1,10,0,73944332,0,1,0,0,100.0
Flyway-R,Scen1,9,0,73888698,0,1,0,0,100.0
Flyway-R,Scen1,8,0,1154021165,0,3,0,0,100.0
Flyway-R,Scen1,7,0,80814863,0,24,0,0,100.0
Flyway-R,Scen1,6,0,1256380927,0,5,0,0,100.0
Flyway-R,Scen1,5,0,76103430,0,1,0,0,100.0
Flyway-R,Scen1,4,0,78011771,0,1,0,0,100.0
Flyway-R,Scen1,3,0,1061243866,0,2,0,0,100.0
Flyway-R,Scen1,2,0,74443714,0,2,0,0,100.0
Flyway,Scen1,2,1850847990,0,0,2,0,0,100.0
Flyway,Scen1,3,2864056959,0,0,2,0,0,100.0
Flyway,Scen1,4,1916730529,0,0,19,0,0,100.0
Flyway,Scen1,5,1871305344,0,0,5,0,0,100.0
Flyway,Scen1,6,1950114503,0,0,2,0,0,100.0
Flyway,Scen1,7,2089927682,0,0,2,0,0,100.0
Flyway,Scen1,8,2761497396,0,0,4,0,0,100.0
Flyway,Scen1,9,1903897989,0,0,18,0,0,100.0
Flyway,Scen1,10,1773929177,0,0,4,0,0,100.0
Flyway,Scen1,11,2018761382,0,0,1,0,0,100.0
Flyway,Scen1,12,1848476349,0,0,8,0,0,100.0
Flyway,Scen1,13,1897059345,0,0,22,0,0,100.0
Flyway,Scen1,14,2405467548,0,0,2,0,0,100.0
Flyway-R,Scen1,14,0,75718879,0,1,0,0,100.0
Flyway-R,Scen1,13,0,75905277,0,2,0,0,100.0
Flyway-R,Scen1,12,0,76959418,0,1,0,0,100.0
Flyway-R,Scen1,11,0,78707410,0,1,0,0,100.0
Flyway-R,Scen1,10,0,77056378,0,1,0,0,100.0
Flyway-R,Scen1,9,0,75522147,0,1,0,0,100.0
Flyway-R,Scen1,8,0,1153848562,0,3,0,0,100.0
Flyway-R,Scen1,7,0,76708295,0,24,0,0,100.0
Flyway-R,Scen1,6,0,1268421949,0,5,0,0,100.0
