tool,scenario,ctx,migrationTimeNs,rollbackTimeNs,exitCode,scriptLines,cpuUsage,memoryUsage,successRate
Liquibase,Scen1,1,3935388435,0,0,0,0,0,100.0
Liquibase,Scen1,2,4809130757,0,0,0,0,0,100.0
Liquibase,Scen1,3,3739630171,0,0,0,0,0,100.0
Liquibase,Scen1,4,3772861162,0,0,0,0,0,100.0
Liquibase,Scen1,5,3875710887,0,0,0,0,0,100.0
Liquibase,Scen1,6,3857100735,0,0,0,0,0,100.0
Liquibase,Scen1,7,4836146959,0,0,0,0,0,100.0
Liquibase,Scen1,8,3870111224,0,0,0,0,0,100.0
Liquibase,Scen1,9,3930226659,0,0,0,0,0,100.0
Liquibase,Scen1,10,3941271258,0,0,0,0,0,100.0
Liquibase,Scen1,11,3997981096,0,0,0,0,0,100.0
Liquibase,Scen1,12,3720061924,0,0,0,0,0,100.0
Liquibase,Scen1,13,4324521751,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,4020640510,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3733438249,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3987724174,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3694187108,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3848078097,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3937329965,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,5006532688,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3862657793,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,5069032200,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3732653066,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3738482503,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4879586813,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3921437667,0,0,0,0,100.0
Liquibase,Scen1,1,3738072323,0,0,0,0,0,100.0
Liquibase,Scen1,2,4815004214,0,0,0,0,0,100.0
Liquibase,Scen1,3,4039072494,0,0,0,0,0,100.0
Liquibase,Scen1,4,3877248943,0,0,0,0,0,100.0
Liquibase,Scen1,5,4001038917,0,0,0,0,0,100.0
Liquibase,Scen1,6,3802183467,0,0,0,0,0,100.0
Liquibase,Scen1,7,4708764279,0,0,0,0,0,100.0
Liquibase,Scen1,8,3854786978,0,0,0,0,0,100.0
Liquibase,Scen1,9,3733948640,0,0,0,0,0,100.0
Liquibase,Scen1,10,4040138510,0,0,0,0,0,100.0
Liquibase,Scen1,11,3803546298,0,0,0,0,0,100.0
Liquibase,Scen1,12,3810844287,0,0,0,0,0,100.0
Liquibase,Scen1,13,4454141982,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3652876942,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3726169443,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3830662475,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3735371336,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3988069062,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3801370822,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,5008283262,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3809077521,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,5048132450,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3753811685,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3807891922,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4885805903,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3858692339,0,0,0,0,100.0
Liquibase,Scen1,1,3958715043,0,0,0,0,0,100.0
Liquibase,Scen1,2,4854424556,0,0,0,0,0,100.0
Liquibase,Scen1,3,3785760717,0,0,0,0,0,100.0
Liquibase,Scen1,4,3813664183,0,0,0,0,0,100.0
Liquibase,Scen1,5,3728527055,0,0,0,0,0,100.0
Liquibase,Scen1,6,3852112287,0,0,0,0,0,100.0
Liquibase,Scen1,7,4884853880,0,0,0,0,0,100.0
Liquibase,Scen1,8,3834989749,0,0,0,0,0,100.0
Liquibase,Scen1,9,3897982224,0,0,0,0,0,100.0
Liquibase,Scen1,10,4067482534,0,0,0,0,0,100.0
Liquibase,Scen1,11,4008228701,0,0,0,0,0,100.0
Liquibase,Scen1,12,3860517524,0,0,0,0,0,100.0
Liquibase,Scen1,13,4368924777,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3801268801,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3719670605,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3985986216,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3826159269,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3748587189,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3817306719,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,5029354949,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,4195564294,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,4997546882,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3810962239,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3986538866,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4812146301,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3829443583,0,0,0,0,100.0
Liquibase,Scen1,1,3806292984,0,0,0,0,0,100.0
Liquibase,Scen1,2,4932793024,0,0,0,0,0,100.0
Liquibase,Scen1,3,3848732440,0,0,0,0,0,100.0
Liquibase,Scen1,4,3855512729,0,0,0,0,0,100.0
Liquibase,Scen1,5,4031289082,0,0,0,0,0,100.0
Liquibase,Scen1,6,3908862101,0,0,0,0,0,100.0
Liquibase,Scen1,7,4921954071,0,0,0,0,0,100.0
Liquibase,Scen1,8,3809424613,0,0,0,0,0,100.0
Liquibase,Scen1,9,3700090334,0,0,0,0,0,100.0
Liquibase,Scen1,10,4272990194,0,0,0,0,0,100.0
Liquibase,Scen1,11,3884772653,0,0,0,0,0,100.0
Liquibase,Scen1,12,3783572293,0,0,0,0,0,100.0
Liquibase,Scen1,13,4471117795,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3721315593,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3687463621,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3767444312,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3830534139,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3809356300,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3747090776,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,4914614067,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3865744335,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,5026101298,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3678481783,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3790576625,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4826855431,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3750185786,0,0,0,0,100.0
Liquibase,Scen1,1,3729689355,0,0,0,0,0,100.0
Liquibase,Scen1,2,4932607362,0,0,0,0,0,100.0
Liquibase,Scen1,3,3825710428,0,0,0,0,0,100.0
Liquibase,Scen1,4,3827257517,0,0,0,0,0,100.0
Liquibase,Scen1,5,3836746061,0,0,0,0,0,100.0
Liquibase,Scen1,6,3758311277,0,0,0,0,0,100.0
Liquibase,Scen1,7,5006610285,0,0,0,0,0,100.0
Liquibase,Scen1,8,3872562408,0,0,0,0,0,100.0
Liquibase,Scen1,9,3789832699,0,0,0,0,0,100.0
Liquibase,Scen1,10,3886581877,0,0,0,0,0,100.0
Liquibase,Scen1,11,3781082615,0,0,0,0,0,100.0
Liquibase,Scen1,12,3820510191,0,0,0,0,0,100.0
Liquibase,Scen1,13,4250907812,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3828400453,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3844285164,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3908976143,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3773041976,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3821124426,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3772924417,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,4916924540,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3794747690,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,5181171893,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3782408273,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3780947516,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4833957338,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3716977390,0,0,0,0,100.0
Liquibase,Scen1,1,3904881941,0,0,0,0,0,100.0
Liquibase,Scen1,2,4913662889,0,0,0,0,0,100.0
Liquibase,Scen1,3,3831133076,0,0,0,0,0,100.0
Liquibase,Scen1,4,3710096228,0,0,0,0,0,100.0
Liquibase,Scen1,5,3784341741,0,0,0,0,0,100.0
Liquibase,Scen1,6,3903975054,0,0,0,0,0,100.0
Liquibase,Scen1,7,5094247955,0,0,0,0,0,100.0
Liquibase,Scen1,8,3840858572,0,0,0,0,0,100.0
Liquibase,Scen1,9,3728989172,0,0,0,0,0,100.0
Liquibase,Scen1,10,3945279316,0,0,0,0,0,100.0
Liquibase,Scen1,11,4078115232,0,0,0,0,0,100.0
Liquibase,Scen1,12,3894945765,0,0,0,0,0,100.0
Liquibase,Scen1,13,4405121872,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3792457311,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3815694224,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3833005026,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,4042062186,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3886222213,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3778420730,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,5066088688,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3761863559,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,5104364136,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3799486250,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3687901844,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4758306594,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3833091290,0,0,0,0,100.0
Liquibase,Scen1,1,3886781829,0,0,0,0,0,100.0
Liquibase,Scen1,2,4824919984,0,0,0,0,0,100.0
Liquibase,Scen1,3,3770188880,0,0,0,0,0,100.0
Liquibase,Scen1,4,3951409558,0,0,0,0,0,100.0
Liquibase,Scen1,5,3813828509,0,0,0,0,0,100.0
Liquibase,Scen1,6,3997623578,0,0,0,0,0,100.0
Liquibase,Scen1,7,4762355689,0,0,0,0,0,100.0
Liquibase,Scen1,8,3765476652,0,0,0,0,0,100.0
Liquibase,Scen1,9,3817715826,0,0,0,0,0,100.0
Liquibase,Scen1,10,4006139900,0,0,0,0,0,100.0
Liquibase,Scen1,11,4038444826,0,0,0,0,0,100.0
Liquibase,Scen1,12,3786126537,0,0,0,0,0,100.0
Liquibase,Scen1,13,4340674626,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3772950296,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3736563984,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3734513991,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3859528403,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3701996300,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3648082956,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,4920995425,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,4015363837,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,5015231766,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3852019635,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3835883576,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4718603749,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3925126541,0,0,0,0,100.0
Liquibase,Scen1,1,3881697120,0,0,0,0,0,100.0
Liquibase,Scen1,2,4772581423,0,0,0,0,0,100.0
Liquibase,Scen1,3,3853749233,0,0,0,0,0,100.0
Liquibase,Scen1,4,3826372001,0,0,0,0,0,100.0
Liquibase,Scen1,5,3759276881,0,0,0,0,0,100.0
Liquibase,Scen1,6,3825651762,0,0,0,0,0,100.0
Liquibase,Scen1,7,5011129203,0,0,0,0,0,100.0
Liquibase,Scen1,8,3763251070,0,0,0,0,0,100.0
Liquibase,Scen1,9,4023766608,0,0,0,0,0,100.0
Liquibase,Scen1,10,3940896760,0,0,0,0,0,100.0
Liquibase,Scen1,11,3886866795,0,0,0,0,0,100.0
Liquibase,Scen1,12,3775918532,0,0,0,0,0,100.0
Liquibase,Scen1,13,4524628916,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3792825841,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3799034257,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3817196241,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3830616997,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3709179144,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3824690274,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,5151274624,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3828752857,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,5121244083,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3823034546,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3933879073,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4596914835,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3813801223,0,0,0,0,100.0
Liquibase,Scen1,1,3736571547,0,0,0,0,0,100.0
Liquibase,Scen1,2,5014986394,0,0,0,0,0,100.0
